familyname	maxgap	sex
EUTREP14	0.04443043970809796	female
EUTREP14	0.014599697998134042	male
EUTREP15	0.08779533856494015	female
EUTREP15	0.10532510282311014	male
EUTREP2	0.027855471456623038	female
EUTREP2	0.02137680951226706	male
EUTREP3	0.034335548373275016	female
EUTREP3	0.024682102988007992	male
EUTREP5	0.005392948287098801	female
EUTREP5	0.0031133497241820005	male
EUTREP6	0.022281198949766504	female
EUTREP6	0.02412201429327404	male
EUTREP7	0.07181522343890001	female
EUTREP7	0.06626304817596007	male
EUTREP8	0.061583585194699975	female
EUTREP8	0.19093248717659006	male
EutTc1-N1	0.01858339398417297	female
EutTc1-N1	0.020908598823839997	male
FORDPREFECT	0.15257542966289028	female
FORDPREFECT	0.04872205804056007	male
FORDPREFECT_A	0.03197394261376202	female
FORDPREFECT_A	0.031259878959698006	male
GOLEM	0.27564179397860045	female
GOLEM	0.577461651954998	male
GOLEM_A	3.3757394674850048	female
GOLEM_A	1.0946360431651954	male
GOLEM_B	0.6099804919820997	female
GOLEM_B	0.4824770457660037	male
GOLEM_C	1.3149466939426873	female
GOLEM_C	1.7865033141515028	male
GSAT	3.081030667703004	female
GSAT	2.4019182356589965	male
GSATII	12.839337835837	female
GSATII	8.649874470521013	male
GSATX	1.8670163878934005	female
GSATX	2.0889979423312006	male
HAL1	0.06882007422544989	female
HAL1	0.11843064454219032	male
HAL1B	0.009970757854084078	female
HAL1B	0.01134958727879698	male
HAL1M8	0.19280149075841013	female
HAL1M8	0.17525289725017945	male
HARLEQUIN	1.0730456497527001	female
HARLEQUIN	0.5658163430426981	male
HARLEQUINLTR	4.065954935722971	female
HARLEQUINLTR	3.350173635877013	male
Helitron1Nb_Mam	0.034620856523494004	female
Helitron1Nb_Mam	0.026031278293751015	male
Helitron3Na_Mam	0.02131924673522595	female
Helitron3Na_Mam	0.020709054947764982	male
HERV-K14CI	1.1110249605595897	female
HERV-K14CI	1.2450158453937004	male
HERV-K14I	0.40629303118869586	female
HERV-K14I	0.5501830234194998	male
HERV1_LTR	0.3311553428092999	female
HERV1_LTR	0.24948777620850038	male
HERV15I	0.19064221866445052	female
HERV15I	0.6309145057379002	male
HERV16	0.060399357843055	female
HERV16	0.11209517082863096	male
HERV17	0.6258823081656004	female
HERV17	0.42740148792870514	male
HERV18	1.5706234981267997	female
HERV18	0.8329359780234995	male
HERV19I	0.2145062027609015	female
HERV19I	0.3556756756618995	male
HERV23	0.06501502072535792	female
HERV23	0.2644625239251599	male
HERV3	0.0746797214774908	female
HERV3	0.6455074094555489	male
HERV30I	0.2835101788241996	female
HERV30I	0.5259817344846986	male
HERV35I	0.19997532527500006	female
HERV35I	0.2784884788579003	male
HERV38I	0.1705454227688099	female
HERV38I	0.5430926104447096	male
HERV39	0.7533787394539928	female
HERV39	3.4352082298563005	male
HERV4_I	0.14330796959389858	female
HERV4_I	0.3211801638712011	male
HERV4_LTR	0.007682578227764997	female
HERV4_LTR	0.01114577533723099	male
HERV46I	0.34576768775830047	female
HERV46I	1.4711216974719497	male
HERV49I	0.25896240758039824	female
HERV49I	0.45481164021979836	male
HERV52I	0.03754194939744804	female
HERV52I	0.022997699321886	male
HERV57I	0.09135922196738022	female
HERV57I	0.07716842741356977	male
HERV9	1.5208159863510105	female
HERV9	1.7350725691839841	male
HERVE	1.6181082139861047	female
HERVE	1.6245798507870006	male
HERVFH19I	0.23746878476998035	female
HERVFH19I	0.17734225789402913	male
HERVFH21I	0.9235020233692985	female
HERVFH21I	1.083625324032699	male
HERVG25	0.0977013946049301	female
HERVG25	0.1541867384708	male
HERVH	12.454785194020985	female
HERVH	8.319117021029967	male
HERVH48I	0.2765903927397986	female
HERVH48I	0.746640460020803	male
HERVI	1.4013589698206097	female
HERVI	1.2012895101591399	male
HERVIP10F	0.16114722556519823	female
HERVIP10F	0.2505122409114975	male
HERVIP10FH	1.4613272859437956	female
HERVIP10FH	1.8640468846250968	male
HERVK	0.5172844488688	female
HERVK	2.493241530370298	male
HERVK11DI	0.19454005427444088	female
HERVK11DI	0.21548214005072008	male
