study_accession	sample_accession	experiment_accession	run_accession	read_count	base_count	sample_alias
PRJEB6463	SAMEA2580921	ERX1361024	ERR1289418	73190166	11051715066	HGDP00812
PRJEB6463	SAMEA2580929	ERX1361025	ERR1289419	72079226	10883963126	HGDP00821
PRJEB6463	SAMEA2580937	ERX1361026	ERR1289420	71679062	10823538362	HGDP00977
PRJEB6463	SAMEA2580945	ERX1361027	ERR1289421	89727696	12950174940	HGDP01291
PRJEB6463	SAMEA2580957	ERX1361028	ERR1289422	69002710	10419409210	HGDP01313
PRJEB6463	SAMEA2580969	ERX1361029	ERR1289423	70235442	10605551742	HGDP01337
PRJEB6463	SAMEA2580981	ERX1361030	ERR1289424	65240440	9851306440	HGDP01330
PRJEB6463	SAMEA2580992	ERX1361031	ERR1289425	71522428	10799886628	HGDP01183
PRJEB6463	SAMEA2581005	ERX1361032	ERR1289426	78053308	11272737661	HGDP01196
PRJEB6463	SAMEA2581019	ERX1361033	ERR1289427	74755832	11288130632	HGDP01348
PRJEB6463	SAMEA2580841	ERX1361034	ERR1289428	80933624	12220977224	HGDP01029
PRJEB6463	SAMEA2580913	ERX1361035	ERR1289429	77225344	11661026944	HGDP00780
PRJEB6463	SAMEA2580923	ERX1361036	ERR1289430	75079314	11336976414	HGDP00814
PRJEB6463	SAMEA2580931	ERX1361037	ERR1289431	71396402	10780856702	HGDP00971
PRJEB6463	SAMEA2580939	ERX1361038	ERR1289432	76309668	11522759868	HGDP01023
PRJEB6463	SAMEA2580947	ERX1361039	ERR1289433	73306690	11069310190	HGDP01293
PRJEB6463	SAMEA2580961	ERX1361040	ERR1289434	71674054	10822782154	HGDP01317
PRJEB6463	SAMEA2580973	ERX1361041	ERR1289435	73358484	11077131084	HGDP01341
PRJEB6463	SAMEA2580983	ERX1361042	ERR1289436	73119522	11041047822	HGDP01332
PRJEB6463	SAMEA2580994	ERX1361043	ERR1289437	76228164	11510452764	HGDP01185
PRJEB6463	SAMEA2581013	ERX1361044	ERR1289438	79086588	11942074788	HGDP01100
PRJEB6463	SAMEA2581022	ERX1361045	ERR1289439	74301600	11219541600	HGDP01351
PRJEB6463	SAMEA2580837	ERX1361046	ERR1289440	69263826	10458837726	HGDP01081
PRJEB6463	SAMEA2580912	ERX1361047	ERR1289441	68275144	10309546744	HGDP00779
PRJEB6463	SAMEA2580922	ERX1361048	ERR1289442	71004410	10200636983	HGDP00813
PRJEB6463	SAMEA2580930	ERX1361049	ERR1289443	138336486	19529426878	HGDP00822
PRJEB6463	SAMEA2580938	ERX1361050	ERR1289444	67843160	10244317160	HGDP01021
PRJEB6463	SAMEA2580946	ERX1361051	ERR1289445	67154804	10140375404	HGDP01292
PRJEB6463	SAMEA2580960	ERX1361052	ERR1289446	94273578	13528117798	HGDP01316
PRJEB6463	SAMEA2580972	ERX1361053	ERR1289447	69332064	9966467492	HGDP01340
PRJEB6463	SAMEA2580982	ERX1361054	ERR1289448	65574076	9901685476	HGDP01331
PRJEB6463	SAMEA2580993	ERX1361055	ERR1289449	57298838	8652124538	HGDP01184
PRJEB6463	SAMEA2581006	ERX1361056	ERR1289450	67184158	10144807858	HGDP01197
PRJEB6463	SAMEA2581020	ERX1361057	ERR1289451	72762018	10987064718	HGDP01349
PRJEB6463	SAMEA2580849	ERX1361058	ERR1289452	76026806	11480047706	HGDP01033
PRJEB6463	SAMEA2580914	ERX1361059	ERR1289453	76838200	11602568200	HGDP00781
PRJEB6463	SAMEA2580924	ERX1361060	ERR1289454	73284434	11065949534	HGDP00815
PRJEB6463	SAMEA2580932	ERX1361061	ERR1289455	66582930	10054022430	HGDP00972
PRJEB6463	SAMEA2580940	ERX1361062	ERR1289456	71750506	10834326406	HGDP01024
PRJEB6463	SAMEA2580948	ERX1361063	ERR1289457	79370623	11395808534	HGDP01294
PRJEB6463	SAMEA2580962	ERX1361064	ERR1289458	70131384	10589838984	HGDP01318
PRJEB6463	SAMEA2580974	ERX1361065	ERR1289459	73800714	11143907814	HGDP01342
PRJEB6463	SAMEA2580985	ERX1361066	ERR1289460	82402883	11864881636	HGDP01334
PRJEB6463	SAMEA2580995	ERX1361067	ERR1289461	65080874	9827211974	HGDP01186
PRJEB6463	SAMEA2581014	ERX1361068	ERR1289462	77112056	11643920456	HGDP01101
PRJEB6463	SAMEA2581023	ERX1361069	ERR1289463	74074476	11185245876	HGDP01352
PRJEB6463	SAMEA2580870	ERX1361070	ERR1289464	78753384	11891760984	HGDP00930
PRJEB6463	SAMEA2580915	ERX1361071	ERR1289465	67772154	10233595254	HGDP00782
PRJEB6463	SAMEA2580925	ERX1361072	ERR1289466	74383912	11231970712	HGDP00817
PRJEB6463	SAMEA2580933	ERX1361073	ERR1289467	76824252	11600462052	HGDP00973
PRJEB6463	SAMEA2580941	ERX1361074	ERR1289468	71377848	10778055048	HGDP01287
PRJEB6463	SAMEA2580949	ERX1361075	ERR1289469	75345642	11377191942	HGDP01295
PRJEB6463	SAMEA2580963	ERX1361076	ERR1289470	78151084	11800813684	HGDP01319
PRJEB6463	SAMEA2580977	ERX1361077	ERR1289471	77391780	11686158780	HGDP01346
PRJEB6463	SAMEA2580987	ERX1361078	ERR1289472	77681068	11729841268	HGDP01336
PRJEB6463	SAMEA2580996	ERX1361079	ERR1289473	70056240	10578492240	HGDP01187
PRJEB6463	SAMEA2581015	ERX1361080	ERR1289474	71762902	10836198202	HGDP01102
PRJEB6463	SAMEA2581024	ERX1361081	ERR1289475	81762342	12346113642	HGDP01353
PRJEB6463	SAMEA2580897	ERX1361082	ERR1289476	72261844	10911538444	HGDP00917
PRJEB6463	SAMEA2580917	ERX1361083	ERR1289477	69593956	10508687356	HGDP00784
PRJEB6463	SAMEA2580926	ERX1361084	ERR1289478	69068434	10429333534	HGDP00818
PRJEB6463	SAMEA2580934	ERX1361085	ERR1289479	76786182	11594713482	HGDP00974
PRJEB6463	SAMEA2580942	ERX1361086	ERR1289480	77919400	11765829400	HGDP01288
PRJEB6463	SAMEA2580950	ERX1361087	ERR1289481	69485710	10492342210	HGDP01296
PRJEB6463	SAMEA2580965	ERX1361088	ERR1289482	80524033	11538134014	HGDP01321
PRJEB6463	SAMEA2580978	ERX1361089	ERR1289483	73310986	11069958886	HGDP01327
PRJEB6463	SAMEA2580989	ERX1361090	ERR1289484	70189806	10598660706	HGDP01180
PRJEB6463	SAMEA2581002	ERX1361091	ERR1289485	74902380	11310259380	HGDP01193
PRJEB6463	SAMEA2581016	ERX1361092	ERR1289486	83132836	12553058236	HGDP01103
PRJEB6463	SAMEA2581025	ERX1361093	ERR1289487	80172882	12106105182	HGDP01354
PRJEB6463	SAMEA2580907	ERX1361094	ERR1289488	79965012	12074716812	HGDP00774
PRJEB6463	SAMEA2580919	ERX1361095	ERR1289489	70938320	10711686320	HGDP00786
PRJEB6463	SAMEA2580927	ERX1361096	ERR1289490	80786647	11651797177	HGDP00819
PRJEB6463	SAMEA2580935	ERX1361097	ERR1289491	72073152	10883045952	HGDP00975
PRJEB6463	SAMEA2580943	ERX1361098	ERR1289492	68833732	10393893532	HGDP01289
PRJEB6463	SAMEA2580954	ERX1361099	ERR1289493	71616960	10814160960	HGDP01310
PRJEB6463	SAMEA2580966	ERX1361100	ERR1289494	75382952	11382825752	HGDP01322
PRJEB6463	SAMEA2580979	ERX1361101	ERR1289495	74207700	11205362700	HGDP01328
PRJEB6463	SAMEA2580990	ERX1361102	ERR1289496	66203782	9996771082	HGDP01181
PRJEB6463	SAMEA2581003	ERX1361103	ERR1289497	71065584	10730903184	HGDP01194
PRJEB6463	SAMEA2581017	ERX1361104	ERR1289498	81730002	11774612562	HGDP01104
PRJEB6463	SAMEA2581027	ERX1361105	ERR1289499	70029170	10574404670	HGDP01356
PRJEB6463	SAMEA2580909	ERX1361106	ERR1289500	72800940	10992941940	HGDP00776
PRJEB6463	SAMEA2580920	ERX1361107	ERR1289501	69120550	10437203050	HGDP00811
PRJEB6463	SAMEA2580928	ERX1361108	ERR1289502	67682958	10220126658	HGDP00820
PRJEB6463	SAMEA2580936	ERX1361109	ERR1289503	64330208	9713861408	HGDP00976
PRJEB6463	SAMEA2580944	ERX1361110	ERR1289504	68231254	10302919354	HGDP01290
PRJEB6463	SAMEA2580955	ERX1361111	ERR1289505	68393364	10327397964	HGDP01311
PRJEB6463	SAMEA2580968	ERX1361112	ERR1289506	73838062	11149547362	HGDP01326
PRJEB6463	SAMEA2580980	ERX1361113	ERR1289507	110713074	16717674174	HGDP01329
PRJEB6463	SAMEA2580991	ERX1361114	ERR1289508	79089924	11942578524	HGDP01182
PRJEB6463	SAMEA2581004	ERX1361115	ERR1289509	75010549	10909203447	HGDP01195
PRJEB6463	SAMEA2581018	ERX1361116	ERR1289510	72466261	10501023662	HGDP01347
PRJEB6463	SAMEA2581032	ERX1361117	ERR1289511	74367754	11229530854	HGDP01247
PRJEB6463	SAMEA2581033	ERX1367156	ERR1295824	79064874	11938795974	HGDP01248
PRJEB6463	SAMEA2581042	ERX1367157	ERR1295825	67727954	10226921054	HGDP01239
PRJEB6463	SAMEA2581062	ERX1367158	ERR1295826	70002520	10570380520	HGDP01219
PRJEB6463	SAMEA2581071	ERX1367159	ERR1295827	68631512	10363358312	HGDP01208
PRJEB6463	SAMEA2581086	ERX1367160	ERR1295828	69337322	10469935622	HGDP00748
PRJEB6463	SAMEA2581097	ERX1367161	ERR1295829	79573536	12015603936	HGDP00759
PRJEB6463	SAMEA2581105	ERX1367162	ERR1295830	65695552	9920028352	HGDP00767
PRJEB6463	SAMEA2581118	ERX1367163	ERR1295831	65637740	9911298740	HGDP00949
PRJEB6463	SAMEA2581128	ERX1367164	ERR1295832	62759458	9476678158	HGDP00959
PRJEB6463	SAMEA2581136	ERX1367165	ERR1295833	67311108	10163977308	HGDP00967
