study_accession	sample_accession	experiment_accession	run_accession	read_count	base_count	sample_alias
PRJEB6463	SAMEA2581434	ERX1444467	ERR1373341	65806820	9936829820	HGDP01380
PRJEB6463	SAMEA2581444	ERX1444468	ERR1373342	66578570	10053364070	HGDP00804
PRJEB6463	SAMEA2581452	ERX1444469	ERR1373343	63803040	9634259040	HGDP01151
PRJEB6463	SAMEA2581462	ERX1444470	ERR1373344	65074308	9826220508	HGDP01177
PRJEB6463	SAMEA2581473	ERX1444471	ERR1373345	64365466	9719185366	HGDP00667
PRJEB6463	SAMEA2581481	ERX1444472	ERR1373346	69694082	10523806382	HGDP01062
PRJEB6463	SAMEA2581489	ERX1444473	ERR1373347	73968646	11169265546	HGDP01070
PRJEB6463	SAMEA2581500	ERX1444474	ERR1373348	66258312	10005005112	HGDP00558
PRJEB6463	SAMEA2581509	ERX1444475	ERR1373349	67453834	10185528934	HGDP00567
PRJEB6463	SAMEA2581519	ERX1444476	ERR1373350	68013184	10269990784	HGDP00578
PRJEB6463	SAMEA2581528	ERX1444477	ERR1373351	65149166	9837524066	HGDP00588
PRJEB6463	SAMEA2581427	ERX1444478	ERR1373352	58212780	8790129780	HGDP01373
PRJEB6463	SAMEA2581435	ERX1444479	ERR1373353	72145652	10893993452	HGDP00794
PRJEB6463	SAMEA2581445	ERX1444480	ERR1373354	62141876	9383423276	HGDP00805
PRJEB6463	SAMEA2581453	ERX1444481	ERR1373355	60316748	9107828948	HGDP01152
PRJEB6463	SAMEA2581463	ERX1444482	ERR1373356	59772724	9025681324	HGDP01161
PRJEB6463	SAMEA2581474	ERX1444483	ERR1373357	57026894	8611060994	HGDP00668
PRJEB6463	SAMEA2581482	ERX1444484	ERR1373358	67013208	10118994408	HGDP01063
PRJEB6463	SAMEA2581490	ERX1444485	ERR1373359	96354540	14549535540	HGDP01071
PRJEB6463	SAMEA2581501	ERX1444486	ERR1373360	68413432	10330428232	HGDP00559
PRJEB6463	SAMEA2581510	ERX1444487	ERR1373361	65045612	9821887412	HGDP00568
PRJEB6463	SAMEA2581520	ERX1444488	ERR1373362	58729368	8868134568	HGDP00579
PRJEB6463	SAMEA2581529	ERX1444489	ERR1373363	64567548	9749699748	HGDP00590
PRJEB6463	SAMEA2581305	ERX1466982	ERR1395723	77533844	11707610444	HGDP00076
PRJEB6463	SAMEA2581314	ERX1466983	ERR1395724	59040004	8915040604	HGDP00096
PRJEB6463	SAMEA2581325	ERX1466984	ERR1395725	70507774	10646673874	HGDP00141
PRJEB6463	SAMEA2581333	ERX1466985	ERR1395726	69022728	10422431928	HGDP00151
PRJEB6463	SAMEA2581344	ERX1466986	ERR1395727	63059340	9521960340	HGDP01384
PRJEB6463	SAMEA2581356	ERX1466987	ERR1395728	68507852	10344685652	HGDP01403
PRJEB6463	SAMEA2581364	ERX1466988	ERR1395729	67856728	10246365928	HGDP00885
PRJEB6463	SAMEA2581373	ERX1466989	ERR1395730	73492290	11097335790	HGDP00894
PRJEB6463	SAMEA2581381	ERX1466990	ERR1395731	70186868	10598217068	HGDP00902
PRJEB6463	SAMEA2581390	ERX1466991	ERR1395732	72283666	10914833566	HGDP00518
PRJEB6463	SAMEA2581400	ERX1466992	ERR1395733	77292004	11671092604	HGDP00528
PRJEB6463	SAMEA2581410	ERX1466993	ERR1395734	75181476	11352402876	HGDP00539
PRJEB6463	SAMEA2581306	ERX1466994	ERR1395735	60557862	9144237162	HGDP00078
PRJEB6463	SAMEA2581315	ERX1466995	ERR1395736	67042250	10123379750	HGDP00098
PRJEB6463	SAMEA2581326	ERX1466996	ERR1395737	64718674	9772519774	HGDP00143
PRJEB6463	SAMEA2581334	ERX1466997	ERR1395738	111474850	16832702350	HGDP00153
PRJEB6463	SAMEA2581346	ERX1466998	ERR1395739	67895584	10252233184	HGDP01386
PRJEB6463	SAMEA2581357	ERX1466999	ERR1395740	62923830	9501498330	HGDP01404
PRJEB6463	SAMEA2581365	ERX1467000	ERR1395741	83660928	12632800128	HGDP00886
PRJEB6463	SAMEA2581374	ERX1467001	ERR1395742	65872552	9946755352	HGDP00895
PRJEB6463	SAMEA2581383	ERX1467002	ERR1395743	66960590	10111049090	HGDP00511
PRJEB6463	SAMEA2581391	ERX1467003	ERR1395744	53090748	8016702948	HGDP00519
PRJEB6463	SAMEA2581401	ERX1467004	ERR1395745	64788852	9783116652	HGDP00529
PRJEB6463	SAMEA2581411	ERX1467005	ERR1395746	65544312	9897191112	HGDP01357
PRJEB6463	SAMEA2581307	ERX1467006	ERR1395747	75502138	11400822838	HGDP00080
PRJEB6463	SAMEA2581317	ERX1467007	ERR1395748	80039628	12085983828	HGDP00131
PRJEB6463	SAMEA2581327	ERX1467008	ERR1395749	73373798	11079443498	HGDP00144
PRJEB6463	SAMEA2581335	ERX1467009	ERR1395750	72242676	10908644076	HGDP00154
PRJEB6463	SAMEA2581347	ERX1467010	ERR1395751	72985302	11020780602	HGDP01387
PRJEB6463	SAMEA2581358	ERX1467011	ERR1395752	76584832	11564309632	HGDP00879
PRJEB6463	SAMEA2581367	ERX1467012	ERR1395753	77385136	11685155536	HGDP00888
PRJEB6463	SAMEA2581375	ERX1467013	ERR1395754	75550166	11408075066	HGDP00896
PRJEB6463	SAMEA2581384	ERX1467014	ERR1395755	65019174	9817895274	HGDP00512
PRJEB6463	SAMEA2581392	ERX1467015	ERR1395756	78289176	11821665576	HGDP00520
PRJEB6463	SAMEA2581403	ERX1467016	ERR1395757	75536810	11406058310	HGDP00531
PRJEB6463	SAMEA2581412	ERX1467017	ERR1395758	75075398	11336385098	HGDP01358
PRJEB6463	SAMEA2581308	ERX1467018	ERR1395759	79408870	11990739370	HGDP00082
PRJEB6463	SAMEA2581318	ERX1467019	ERR1395760	75560976	11409707376	HGDP00133
PRJEB6463	SAMEA2581328	ERX1467020	ERR1395761	70128584	10589416184	HGDP00145
PRJEB6463	SAMEA2581336	ERX1467021	ERR1395762	71855644	10850202244	HGDP00155
PRJEB6463	SAMEA2581348	ERX1467022	ERR1395763	59036606	8914527506	HGDP01388
PRJEB6463	SAMEA2581359	ERX1467023	ERR1395764	72051042	10879707342	HGDP00880
PRJEB6463	SAMEA2581368	ERX1467024	ERR1395765	72870720	11003478720	HGDP00889
PRJEB6463	SAMEA2581376	ERX1467025	ERR1395766	78139828	11799114028	HGDP00897
PRJEB6463	SAMEA2581385	ERX1467026	ERR1395767	73682458	11126051158	HGDP00513
PRJEB6463	SAMEA2581394	ERX1467027	ERR1395768	67930748	10257542948	HGDP00522
PRJEB6463	SAMEA2581405	ERX1467028	ERR1395769	82805062	12503564362	HGDP00534
PRJEB6463	SAMEA2581413	ERX1467029	ERR1395770	78417014	11840969114	HGDP01359
PRJEB6463	SAMEA2581309	ERX1467030	ERR1395771	71596042	10811002342	HGDP00086
PRJEB6463	SAMEA2581319	ERX1467031	ERR1395772	66118498	9983893198	HGDP00134
PRJEB6463	SAMEA2581329	ERX1467032	ERR1395773	67442572	10183828372	HGDP00146
PRJEB6463	SAMEA2581338	ERX1467033	ERR1395774	74963394	11319472494	HGDP00158
PRJEB6463	SAMEA2581350	ERX1467034	ERR1395775	72351244	10925037844	HGDP01397
PRJEB6463	SAMEA2581360	ERX1467035	ERR1395776	72287768	10915452968	HGDP00881
PRJEB6463	SAMEA2581369	ERX1467036	ERR1395777	78932416	11918794816	HGDP00890
PRJEB6463	SAMEA2581377	ERX1467037	ERR1395778	79744306	12041390206	HGDP00898
PRJEB6463	SAMEA2581386	ERX1467038	ERR1395779	70019072	10572879872	HGDP00514
PRJEB6463	SAMEA2581395	ERX1467039	ERR1395780	68739872	10379720672	HGDP00523
PRJEB6463	SAMEA2581406	ERX1467040	ERR1395781	66027584	9970165184	HGDP00535
PRJEB6463	SAMEA2581414	ERX1467041	ERR1395782	75105902	11340991202	HGDP01360
PRJEB6463	SAMEA2581310	ERX1467042	ERR1395783	65743766	9927308666	HGDP00088
PRJEB6463	SAMEA2581322	ERX1467043	ERR1395784	71165802	10746036102	HGDP00137
PRJEB6463	SAMEA2581330	ERX1467044	ERR1395785	70567128	10655636328	HGDP00148
PRJEB6463	SAMEA2581340	ERX1467045	ERR1395786	78605470	11869425970	HGDP00161
PRJEB6463	SAMEA2581351	ERX1467046	ERR1395787	75832736	11450743136	HGDP01398
PRJEB6463	SAMEA2581361	ERX1467047	ERR1395788	67319566	10165254466	HGDP00882
PRJEB6463	SAMEA2581370	ERX1467048	ERR1395789	76706942	11582748242	HGDP00891
PRJEB6463	SAMEA2581378	ERX1467049	ERR1395790	77069098	11637433798	HGDP00899
PRJEB6463	SAMEA2581387	ERX1467050	ERR1395791	73168874	11048499974	HGDP00515
PRJEB6463	SAMEA2581396	ERX1467051	ERR1395792	75078498	11336853198	HGDP00524
PRJEB6463	SAMEA2581407	ERX1467052	ERR1395793	84991666	12833741566	HGDP00536
PRJEB6463	SAMEA2581415	ERX1467053	ERR1395794	74351772	11227117572	HGDP01361
PRJEB6463	SAMEA2581312	ERX1467054	ERR1395795	72919780	11010886780	HGDP00092
PRJEB6463	SAMEA2581323	ERX1467055	ERR1395796	70892712	10704799512	HGDP00139
PRJEB6463	SAMEA2581331	ERX1467056	ERR1395797	73221924	11056510524	HGDP00149
PRJEB6463	SAMEA2581341	ERX1467057	ERR1395798	75018382	11327775682	HGDP01381
PRJEB6463	SAMEA2581352	ERX1467058	ERR1395799	76007870	11477188370	HGDP01399
PRJEB6463	SAMEA2581362	ERX1467059	ERR1395800	69775418	10536088118	HGDP00883
PRJEB6463	SAMEA2581371	ERX1467060	ERR1395801	77210632	11658805432	HGDP00892
PRJEB6463	SAMEA2581379	ERX1467061	ERR1395802	90848226	13718082126	HGDP00900
PRJEB6463	SAMEA2581388	ERX1467062	ERR1395803	67703848	10223281048	HGDP00516
PRJEB6463	SAMEA2581397	ERX1467063	ERR1395804	76610148	11568132348	HGDP00525
PRJEB6463	SAMEA2581408	ERX1467064	ERR1395805	80189668	12108639868	HGDP00537
PRJEB6463	SAMEA2581416	ERX1467065	ERR1395806	69832814	10544754914	HGDP01362
PRJEB6463	SAMEA2581313	ERX1467066	ERR1395807	70041578	10576278278	HGDP00094
PRJEB6463	SAMEA2581324	ERX1467067	ERR1395808	70795362	10690099662	HGDP00140
PRJEB6463	SAMEA2581332	ERX1467068	ERR1395809	69319244	10467205844	HGDP00150
PRJEB6463	SAMEA2581342	ERX1467069	ERR1395810	73085908	11035972108	HGDP01382
PRJEB6463	SAMEA2581353	ERX1467070	ERR1395811	72124480	10890796480	HGDP01400
PRJEB6463	SAMEA2581363	ERX1467071	ERR1395812	66507326	10042606226	HGDP00884
PRJEB6463	SAMEA2581372	ERX1467072	ERR1395813	82654988	12480903188	HGDP00893
PRJEB6463	SAMEA2581380	ERX1467073	ERR1395814	84434374	12749590474	HGDP00901
PRJEB6463	SAMEA2581389	ERX1467074	ERR1395815	80832656	12205731056	HGDP00517
PRJEB6463	SAMEA2581399	ERX1467075	ERR1395816	68819024	10391672624	HGDP00527
PRJEB6463	SAMEA2581409	ERX1467076	ERR1395817	69308340	10465559340	HGDP00538
PRJEB6463	SAMEA2581417	ERX1467077	ERR1395818	74586860	11262615860	HGDP01363
PRJEB6463	SAMEA2581305	ERX1478770	ERR1407717	76011154	11477684254	HGDP00076
PRJEB6463	SAMEA2581314	ERX1478771	ERR1407718	58137700	8778792700	HGDP00096
PRJEB6463	SAMEA2581325	ERX1478772	ERR1407719	69058940	10427899940	HGDP00141
PRJEB6463	SAMEA2581333	ERX1478773	ERR1407720	67791570	10236527070	HGDP00151
PRJEB6463	SAMEA2581344	ERX1478774	ERR1407721	61977562	9358611862	HGDP01384
PRJEB6463	SAMEA2581356	ERX1478775	ERR1407722	66835812	10092207612	HGDP01403
PRJEB6463	SAMEA2581364	ERX1478776	ERR1407723	66486358	10039440058	HGDP00885
PRJEB6463	SAMEA2581373	ERX1478777	ERR1407724	71562128	10805881328	HGDP00894
PRJEB6463	SAMEA2581381	ERX1478778	ERR1407725	69297358	10463901058	HGDP00902
PRJEB6463	SAMEA2581390	ERX1478779	ERR1407726	69515882	10496898182	HGDP00518
PRJEB6463	SAMEA2581400	ERX1478780	ERR1407727	77384586	11685072486	HGDP00528
PRJEB6463	SAMEA2581410	ERX1478781	ERR1407728	75783840	11443359840	HGDP00539
PRJEB6463	SAMEA2581306	ERX1478782	ERR1407729	59488058	8982696758	HGDP00078
PRJEB6463	SAMEA2581315	ERX1478783	ERR1407730	66864226	10096498126	HGDP00098
PRJEB6463	SAMEA2581326	ERX1478784	ERR1407731	62985904	9510871504	HGDP00143
PRJEB6463	SAMEA2581334	ERX1478785	ERR1407732	107377670	16214028170	HGDP00153
PRJEB6463	SAMEA2581346	ERX1478786	ERR1407733	65749992	9928248792	HGDP01386
PRJEB6463	SAMEA2581357	ERX1478787	ERR1407734	62256782	9400774082	HGDP01404
PRJEB6463	SAMEA2581365	ERX1478788	ERR1407735	80261878	12119543578	HGDP00886
PRJEB6463	SAMEA2581374	ERX1478789	ERR1407736	64056748	9672568948	HGDP00895
PRJEB6463	SAMEA2581383	ERX1478790	ERR1407737	66811282	10088503582	HGDP00511
PRJEB6463	SAMEA2581391	ERX1478791	ERR1407738	50452344	7618303944	HGDP00519
PRJEB6463	SAMEA2581401	ERX1478792	ERR1407739	66853724	10094912324	HGDP00529
PRJEB6463	SAMEA2581411	ERX1478793	ERR1407740	64756258	9778194958	HGDP01357
PRJEB6463	SAMEA2581307	ERX1478794	ERR1407741	73767014	11138819114	HGDP00080
PRJEB6463	SAMEA2581317	ERX1478795	ERR1407742	78270074	11818781174	HGDP00131
PRJEB6463	SAMEA2581327	ERX1478796	ERR1407743	71487162	10794561462	HGDP00144
PRJEB6463	SAMEA2581335	ERX1478797	ERR1407744	70921090	10709084590	HGDP00154
PRJEB6463	SAMEA2581347	ERX1478798	ERR1407745	71381310	10778577810	HGDP01387
PRJEB6463	SAMEA2581358	ERX1478799	ERR1407746	74833672	11299884472	HGDP00879
PRJEB6463	SAMEA2581367	ERX1478800	ERR1407747	76695402	11581005702	HGDP00888
PRJEB6463	SAMEA2581375	ERX1478801	ERR1407748	74590526	11263169426	HGDP00896
PRJEB6463	SAMEA2581384	ERX1478802	ERR1407749	64626466	9758596366	HGDP00512
PRJEB6463	SAMEA2581392	ERX1478803	ERR1407750	76092182	11489919482	HGDP00520
PRJEB6463	SAMEA2581403	ERX1478804	ERR1407751	73479158	11095352858	HGDP00531
PRJEB6463	SAMEA2581412	ERX1478805	ERR1407752	73482784	11095900384	HGDP01358
PRJEB6463	SAMEA2581308	ERX1478806	ERR1407753	77165780	11652032780	HGDP00082
PRJEB6463	SAMEA2581318	ERX1478807	ERR1407754	72011110	10873677610	HGDP00133
PRJEB6463	SAMEA2581328	ERX1478808	ERR1407755	66490170	10040015670	HGDP00145
PRJEB6463	SAMEA2581336	ERX1478809	ERR1407756	70213424	10602227024	HGDP00155
PRJEB6463	SAMEA2581348	ERX1478810	ERR1407757	58454058	8826562758	HGDP01388
PRJEB6463	SAMEA2581359	ERX1478811	ERR1407758	69394838	10478620538	HGDP00880
PRJEB6463	SAMEA2581368	ERX1478812	ERR1407759	70892480	10704764480	HGDP00889
PRJEB6463	SAMEA2581376	ERX1478813	ERR1407760	74587088	11262650288	HGDP00897
PRJEB6463	SAMEA2581385	ERX1478814	ERR1407761	74417118	11236984818	HGDP00513
PRJEB6463	SAMEA2581394	ERX1478815	ERR1407762	65768804	9931089404	HGDP00522
PRJEB6463	SAMEA2581405	ERX1478816	ERR1407763	79581128	12016750328	HGDP00534
PRJEB6463	SAMEA2581413	ERX1478817	ERR1407764	75714378	11432871078	HGDP01359
PRJEB6463	SAMEA2581309	ERX1478818	ERR1407765	69441578	10485678278	HGDP00086
PRJEB6463	SAMEA2581319	ERX1478819	ERR1407766	63622324	9606970924	HGDP00134
PRJEB6463	SAMEA2581329	ERX1478820	ERR1407767	64094828	9678319028	HGDP00146
PRJEB6463	SAMEA2581338	ERX1478821	ERR1407768	73512498	11100387198	HGDP00158
PRJEB6463	SAMEA2581350	ERX1478822	ERR1407769	70069024	10580422624	HGDP01397
PRJEB6463	SAMEA2581360	ERX1478823	ERR1407770	69113710	10436170210	HGDP00881
PRJEB6463	SAMEA2581369	ERX1478824	ERR1407771	75383120	11382851120	HGDP00890
PRJEB6463	SAMEA2581377	ERX1478825	ERR1407772	75766540	11440747540	HGDP00898
PRJEB6463	SAMEA2581386	ERX1478826	ERR1407773	65838224	9941571824	HGDP00514
PRJEB6463	SAMEA2581395	ERX1478827	ERR1407774	66251128	10003920328	HGDP00523
PRJEB6463	SAMEA2581406	ERX1478828	ERR1407775	63926318	9652874018	HGDP00535
PRJEB6463	SAMEA2581414	ERX1478829	ERR1407776	71744518	10833422218	HGDP01360
PRJEB6463	SAMEA2581310	ERX1478830	ERR1407777	64266252	9704204052	HGDP00088
PRJEB6463	SAMEA2581322	ERX1478831	ERR1407778	69378094	10476092194	HGDP00137
PRJEB6463	SAMEA2581330	ERX1478832	ERR1407779	69083528	10431612728	HGDP00148
PRJEB6463	SAMEA2581340	ERX1478833	ERR1407780	77335334	11677635434	HGDP00161
PRJEB6463	SAMEA2581351	ERX1478834	ERR1407781	73530682	11103132982	HGDP01398
PRJEB6463	SAMEA2581361	ERX1478835	ERR1407782	66226404	10000187004	HGDP00882
PRJEB6463	SAMEA2581370	ERX1478836	ERR1407783	75917480	11463539480	HGDP00891
PRJEB6463	SAMEA2581378	ERX1478837	ERR1407784	74521678	11252773378	HGDP00899
PRJEB6463	SAMEA2581387	ERX1478838	ERR1407785	70875420	10702188420	HGDP00515
PRJEB6463	SAMEA2581396	ERX1478839	ERR1407786	72460452	10941528252	HGDP00524
PRJEB6463	SAMEA2581407	ERX1478840	ERR1407787	82222214	12415554314	HGDP00536
PRJEB6463	SAMEA2581415	ERX1478841	ERR1407788	71922504	10860298104	HGDP01361
PRJEB6463	SAMEA2581312	ERX1478842	ERR1407789	74522014	11252824114	HGDP00092
PRJEB6463	SAMEA2581323	ERX1478843	ERR1407790	71816298	10844260998	HGDP00139
PRJEB6463	SAMEA2581331	ERX1478844	ERR1407791	67678432	10219443232	HGDP00149
PRJEB6463	SAMEA2581341	ERX1478845	ERR1407792	69841020	10545994020	HGDP01381
PRJEB6463	SAMEA2581352	ERX1478846	ERR1407793	70347242	10622433542	HGDP01399
PRJEB6463	SAMEA2581362	ERX1478847	ERR1407794	69289694	10462743794	HGDP00883
PRJEB6463	SAMEA2581371	ERX1478848	ERR1407795	75075546	11336407446	HGDP00892
PRJEB6463	SAMEA2581379	ERX1478849	ERR1407796	82466690	12452470190	HGDP00900
PRJEB6463	SAMEA2581388	ERX1478850	ERR1407797	66676404	10068137004	HGDP00516
PRJEB6463	SAMEA2581397	ERX1478851	ERR1407798	72697368	10977302568	HGDP00525
PRJEB6463	SAMEA2581408	ERX1478852	ERR1407799	73829524	11148258124	HGDP00537
PRJEB6463	SAMEA2581416	ERX1478853	ERR1407800	67825608	10241666808	HGDP01362
PRJEB6463	SAMEA2581313	ERX1478854	ERR1407801	67723524	10226252124	HGDP00094
PRJEB6463	SAMEA2581324	ERX1478855	ERR1407802	67865738	10247726438	HGDP00140
PRJEB6463	SAMEA2581332	ERX1478856	ERR1407803	65808040	9937014040	HGDP00150
PRJEB6463	SAMEA2581342	ERX1478857	ERR1407804	68855772	10397221572	HGDP01382
PRJEB6463	SAMEA2581353	ERX1478858	ERR1407805	68293564	10312328164	HGDP01400
PRJEB6463	SAMEA2581363	ERX1478859	ERR1407806	64494398	9738654098	HGDP00884
PRJEB6463	SAMEA2581372	ERX1478860	ERR1407807	77854158	11755977858	HGDP00893
PRJEB6463	SAMEA2581380	ERX1478861	ERR1407808	82845792	12509714592	HGDP00901
PRJEB6463	SAMEA2581389	ERX1478862	ERR1407809	79209006	11960559906	HGDP00517
PRJEB6463	SAMEA2581399	ERX1478863	ERR1407810	67649290	10215042790	HGDP00527
PRJEB6463	SAMEA2581409	ERX1478864	ERR1407811	67509514	10193936614	HGDP00538
PRJEB6463	SAMEA2581417	ERX1478865	ERR1407812	71745156	10833518556	HGDP01363
PRJEB6463	SAMEA2581305	ERX1478866	ERR1407813	83925928	12672815128	HGDP00076
PRJEB6463	SAMEA2581314	ERX1478868	ERR1407814	62242916	9398680316	HGDP00096
PRJEB6463	SAMEA2581325	ERX1478870	ERR1407815	75066548	11335048748	HGDP00141
PRJEB6463	SAMEA2581333	ERX1478872	ERR1407816	74041922	11180330222	HGDP00151
PRJEB6463	SAMEA2581344	ERX1478874	ERR1407817	67245596	10154084996	HGDP01384
PRJEB6463	SAMEA2581356	ERX1478876	ERR1407818	72668314	10972915414	HGDP01403
PRJEB6463	SAMEA2581364	ERX1478877	ERR1407819	72263534	10911793634	HGDP00885
PRJEB6463	SAMEA2581373	ERX1478880	ERR1407820	78432562	11843316862	HGDP00894
PRJEB6463	SAMEA2581381	ERX1478881	ERR1407821	74251732	11212011532	HGDP00902
PRJEB6463	SAMEA2581390	ERX1478883	ERR1407822	78740758	11889854458	HGDP00518
PRJEB6463	SAMEA2581400	ERX1478885	ERR1407823	81787086	12349849986	HGDP00528
PRJEB6463	SAMEA2581410	ERX1478888	ERR1407824	79225420	11963038420	HGDP00539
PRJEB6463	SAMEA2581306	ERX1478890	ERR1407825	62967486	9508090386	HGDP00078
PRJEB6463	SAMEA2581315	ERX1478892	ERR1407826	69705938	10525596638	HGDP00098
PRJEB6463	SAMEA2581326	ERX1478894	ERR1407827	66080134	9978100234	HGDP00143
PRJEB6463	SAMEA2581334	ERX1478896	ERR1407829	114477392	17286086192	HGDP00153
PRJEB6463	SAMEA2581346	ERX1478898	ERR1407831	68639018	10364491718	HGDP01386
PRJEB6463	SAMEA2581357	ERX1478900	ERR1407833	65709520	9922137520	HGDP01404
PRJEB6463	SAMEA2581365	ERX1478902	ERR1407835	84070246	12694607146	HGDP00886
PRJEB6463	SAMEA2581374	ERX1478905	ERR1407837	67328992	10166677792	HGDP00895
PRJEB6463	SAMEA2581383	ERX1478906	ERR1407839	70463700	10640018700	HGDP00511
PRJEB6463	SAMEA2581391	ERX1478908	ERR1407842	53057038	8011612738	HGDP00519
PRJEB6463	SAMEA2581401	ERX1478910	ERR1407844	71840982	10847988282	HGDP00529
PRJEB6463	SAMEA2581411	ERX1478911	ERR1407845	67821570	10241057070	HGDP01357
PRJEB6463	SAMEA2581307	ERX1478912	ERR1407848	75391574	11384127674	HGDP00080
PRJEB6463	SAMEA2581317	ERX1478914	ERR1407850	80006920	12081044920	HGDP00131
PRJEB6463	SAMEA2581327	ERX1478916	ERR1407852	73152028	11045956228	HGDP00144
PRJEB6463	SAMEA2581335	ERX1478918	ERR1407853	72678592	10974467392	HGDP00154
PRJEB6463	SAMEA2581347	ERX1478920	ERR1407855	72680712	10974787512	HGDP01387
PRJEB6463	SAMEA2581358	ERX1478922	ERR1407856	76890294	11610434394	HGDP00879
PRJEB6463	SAMEA2581367	ERX1478924	ERR1407858	78108432	11794373232	HGDP00888
PRJEB6463	SAMEA2581375	ERX1478926	ERR1407860	76247574	11513383674	HGDP00896
PRJEB6463	SAMEA2581384	ERX1478928	ERR1407862	66285958	10009179658	HGDP00512
PRJEB6463	SAMEA2581392	ERX1478930	ERR1407864	77732756	11737646156	HGDP00520
PRJEB6463	SAMEA2581403	ERX1478932	ERR1407866	75413470	11387433970	HGDP00531
PRJEB6463	SAMEA2581412	ERX1478934	ERR1407867	74930458	11314499158	HGDP01358
PRJEB6463	SAMEA2581308	ERX1478935	ERR1407869	80847526	12207976426	HGDP00082
PRJEB6463	SAMEA2581318	ERX1478937	ERR1407872	76246164	11513170764	HGDP00133
PRJEB6463	SAMEA2581328	ERX1478939	ERR1407874	70657232	10669242032	HGDP00145
PRJEB6463	SAMEA2581336	ERX1478941	ERR1407875	73151078	11045812778	HGDP00155
PRJEB6463	SAMEA2581348	ERX1478943	ERR1407877	59847832	9037022632	HGDP01388
PRJEB6463	SAMEA2581359	ERX1478945	ERR1407879	73243014	11059695114	HGDP00880
PRJEB6463	SAMEA2581368	ERX1478947	ERR1407881	74150764	11196765364	HGDP00889
PRJEB6463	SAMEA2581376	ERX1478949	ERR1407883	78694638	11882890338	HGDP00897
PRJEB6463	SAMEA2581385	ERX1478951	ERR1407885	76361142	11530532442	HGDP00513
PRJEB6463	SAMEA2581394	ERX1478953	ERR1407886	68779108	10385645308	HGDP00522
PRJEB6463	SAMEA2581405	ERX1478955	ERR1407888	83639224	12629522824	HGDP00534
PRJEB6463	SAMEA2581413	ERX1478957	ERR1407890	79331832	11979106632	HGDP01359
PRJEB6463	SAMEA2581309	ERX1478959	ERR1407892	71155970	10744551470	HGDP00086
PRJEB6463	SAMEA2581319	ERX1478961	ERR1407894	65939104	9956804704	HGDP00134
PRJEB6463	SAMEA2581329	ERX1478964	ERR1407896	65945362	9957749662	HGDP00146
PRJEB6463	SAMEA2581338	ERX1478966	ERR1407898	74981592	11322220392	HGDP00158
PRJEB6463	SAMEA2581350	ERX1478968	ERR1407900	72455342	10940756642	HGDP01397
PRJEB6463	SAMEA2581360	ERX1478970	ERR1407902	70972590	10716861090	HGDP00881
PRJEB6463	SAMEA2581369	ERX1478972	ERR1407904	77219130	11660088630	HGDP00890
PRJEB6463	SAMEA2581377	ERX1478974	ERR1407905	77680322	11729728622	HGDP00898
PRJEB6463	SAMEA2581386	ERX1478976	ERR1407907	67978728	10264787928	HGDP00514
PRJEB6463	SAMEA2581395	ERX1478978	ERR1407909	68118866	10285948766	HGDP00523
PRJEB6463	SAMEA2581406	ERX1478980	ERR1407911	66082904	9978518504	HGDP00535
PRJEB6463	SAMEA2581414	ERX1478983	ERR1407913	73424474	11087095574	HGDP01360
PRJEB6463	SAMEA2581310	ERX1478985	ERR1407915	65406964	9876451564	HGDP00088
PRJEB6463	SAMEA2581322	ERX1478987	ERR1407917	70511474	10647232574	HGDP00137
PRJEB6463	SAMEA2581330	ERX1478989	ERR1407919	70120606	10588211506	HGDP00148
PRJEB6463	SAMEA2581340	ERX1478991	ERR1407920	77634660	11722833660	HGDP00161
PRJEB6463	SAMEA2581351	ERX1478992	ERR1407922	72966862	11017996162	HGDP01398
PRJEB6463	SAMEA2581361	ERX1478994	ERR1407924	67221326	10150420226	HGDP00882
PRJEB6463	SAMEA2581370	ERX1478997	ERR1407926	76694540	11580875540	HGDP00891
PRJEB6463	SAMEA2581378	ERX1478999	ERR1407928	75058188	11333786388	HGDP00899
PRJEB6463	SAMEA2581387	ERX1479001	ERR1407930	71995328	10871294528	HGDP00515
PRJEB6463	SAMEA2581396	ERX1479003	ERR1407932	72569468	10957989668	HGDP00524
PRJEB6463	SAMEA2581407	ERX1479005	ERR1407933	82549314	12464946414	HGDP00536
PRJEB6463	SAMEA2581415	ERX1479007	ERR1407935	73003602	11023543902	HGDP01361
PRJEB6463	SAMEA2581312	ERX1479009	ERR1407937	74375114	11230642214	HGDP00092
PRJEB6463	SAMEA2581323	ERX1479011	ERR1407939	72057948	10880750148	HGDP00139
PRJEB6463	SAMEA2581331	ERX1479013	ERR1407941	68952732	10411862532	HGDP00149
PRJEB6463	SAMEA2581341	ERX1479016	ERR1407943	71210418	10752773118	HGDP01381
PRJEB6463	SAMEA2581352	ERX1479018	ERR1407944	72202716	10902610116	HGDP01399
PRJEB6463	SAMEA2581362	ERX1479020	ERR1407946	70192492	10599066292	HGDP00883
PRJEB6463	SAMEA2581371	ERX1479023	ERR1407949	76256308	11514702508	HGDP00892
PRJEB6463	SAMEA2581379	ERX1479025	ERR1407951	84389330	12742788830	HGDP00900
PRJEB6463	SAMEA2581388	ERX1479026	ERR1407953	67840520	10243918520	HGDP00516
PRJEB6463	SAMEA2581397	ERX1479028	ERR1407955	73719232	11131604032	HGDP00525
